ADN/replicas/replica3/TRJ01/out:==== RAMD ==== GROMACS will be stopped after 13800 steps.
ADN/replicas/replica3/TRJ02/out:==== RAMD ==== GROMACS will be stopped after 92550 steps.
ADN/replicas/replica3/TRJ03/out:==== RAMD ==== GROMACS will be stopped after 9450 steps.
ADN/replicas/replica3/TRJ04/out:==== RAMD ==== GROMACS will be stopped after 51350 steps.
ADN/replicas/replica3/TRJ05/out:==== RAMD ==== GROMACS will be stopped after 20600 steps.
ADN/replicas/replica3/TRJ06/out:==== RAMD ==== GROMACS will be stopped after 158400 steps.
ADN/replicas/replica3/TRJ07/out:==== RAMD ==== GROMACS will be stopped after 47650 steps.
ADN/replicas/replica3/TRJ08/out:==== RAMD ==== GROMACS will be stopped after 91800 steps.
ADN/replicas/replica3/TRJ09/out:==== RAMD ==== GROMACS will be stopped after 22750 steps.
ADN/replicas/replica3/TRJ10/out:==== RAMD ==== GROMACS will be stopped after 65950 steps.
ADN/replicas/replica3/TRJ11/out:==== RAMD ==== GROMACS will be stopped after 32800 steps.
ADN/replicas/replica3/TRJ12/out:==== RAMD ==== GROMACS will be stopped after 184850 steps.
ADN/replicas/replica3/TRJ13/out:==== RAMD ==== GROMACS will be stopped after 34650 steps.
ADN/replicas/replica3/TRJ14/out:==== RAMD ==== GROMACS will be stopped after 63700 steps.
ADN/replicas/replica3/TRJ15/out:==== RAMD ==== GROMACS will be stopped after 217500 steps.
